"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:28 UTC 2026","4563","Surefire suite","Surefire test","com.ToDoApp.Tests.UsersTest","com.ToDoApp.Tests.UsersTest","verifyUserNotAbleToRegisterWithSameEmail","Verify user not able to register with same email",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:29 UTC 2026","5792","Surefire suite","Surefire test","com.ToDoApp.Tests.TasksTest","com.ToDoApp.Tests.TasksTest","getTaskById","get task id",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:29 UTC 2026","5797","Surefire suite","Surefire test","com.ToDoApp.Tests.TasksTest","com.ToDoApp.Tests.TasksTest","deleteTask","delete task",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:28 UTC 2026","5005","Surefire suite","Surefire test","com.ToDoApp.Tests.TasksTest","com.ToDoApp.Tests.TasksTest","verifyUserNotAbleToCreateTaskWithoutParamater","verify user not able to create task without paramater",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:29 UTC 2026","5787","Surefire suite","Surefire test","com.ToDoApp.Tests.TasksTest","com.ToDoApp.Tests.TasksTest","markTaskTodo","mark task todo",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:28 UTC 2026","5057","Surefire suite","Surefire test","com.ToDoApp.Tests.TasksTest","com.ToDoApp.Tests.TasksTest","verifyUserAbleToCreateTask","verify user able to create task",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:27 UTC 2026","3893","Surefire suite","Surefire test","com.ToDoApp.Tests.UsersTest","com.ToDoApp.Tests.UsersTest","verifyUserAbleToRegisterWithValidData","Verify user able to register with valid data",""
"passed","Sun Apr 19 09:22:23 UTC 2026","Sun Apr 19 09:22:28 UTC 2026","4677","Surefire suite","Surefire test","com.ToDoApp.Tests.UsersTest","com.ToDoApp.Tests.UsersTest","verifyUserAbleToLoginWithValidData","Verify user able to login",""
